Title,Artist
Ordinary,Alex Warren
What I Want,Morgan Wallen Featuring Tate McRae
Just In Case,Morgan Wallen
Luther,Kendrick Lamar & SZA
I'm The Problem,Morgan Wallen
A Bar Song (Tipsy),Shaboozey
Die With A Smile,Lady Gaga & Bruno Mars
Lose Control,Teddy Swims
Beautiful Things,Benson Boone
Nokia,Drake
Anxiety,Doechii
Pink Pony Club,Chappell Roan
Birds Of A Feather,Billie Eilish
Mutt,Leon Thomas
I Had Some Help,Post Malone Featuring Morgan Wallen
Blue Strips,Jessie Murph
I Got Better,Morgan Wallen
All The Way,BigXthaPlug Featuring Bailey Zimmerman
Love Somebody,Morgan Wallen
Espresso,Sabrina Carpenter
I Ain't Coming Back,Morgan Wallen Featuring Post Malone
Sports Car,Tate McRae
Worst Way,Riley Green
APT.,ROSE & Bruno Mars
Undressed,sombr
Superman,Morgan Wallen
20 Cigarettes,Morgan Wallen
30 For 30,SZA With Kendrick Lamar
Messy,Lola Young
Weren't For The Wind,Ella Langley
Timeless,The Weeknd & Playboi Carti
Sorry I'm Here For Someone Else,Benson Boone
Just Keep Watching,Tate McRae
Am I Okay?,Megan Moroney
Mystical Magical,Benson Boone
Love Me Not,Ravyn Lenae
That's So True,Gracie Abrams
Back To Friends,sombr
No One Noticed,The Marias
TV Off,Kendrick Lamar Featuring Lefty Gunplay
Burning Blue,Mariah The Scientist
Abracadabra,Lady Gaga
TN,Morgan Wallen
Good News,Shaboozey
Bloodline,Alex Warren With Jelly Roll
Cry For Me,The Weeknd
Squabble Up,Kendrick Lamar
Wildflower,Billie Eilish
Dark Til Daylight,Morgan Wallen
OWA OWA,Lil Tecca
Whim Whamiee,PLUTO & YKNIECE
Backup Plan,Bailey Zimmerman & Luke Combs
Dark Thoughts,Lil Tecca
Happen To Me,Russell Dickerson
Eyes Are Closed,Morgan Wallen
Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea"
I'm A Little Crazy,Morgan Wallen
Kick Myself,Morgan Wallen
Somebody Loves Me,PARTYNEXTDOOR & Drake
After All The Bars Are Closed,Thomas Rhett
Azizam,Ed Sheeran
Party 4 U,Charli xcx
Your Way's Better,Forrest Frank
Where'd That Girl Go,Morgan Wallen
Indigo,Sam Barber Featuring Avery Anna
"Skoal, Chevy, And Browning",Morgan Wallen
Peekaboo,Kendrick Lamar Featuring AzChike
Falling Apart,Morgan Wallen
If You Were Mine,Morgan Wallen
Kiss Her In Front Of You,Morgan Wallen
Marlboro Rojo,Fuerza Regida
Hard Fought Hallelujah,Brandon Lake X Jelly Roll
Backseat Driver,Kane Brown
Missing,Morgan Wallen
Amen,Shaboozey & Jelly Roll
Me Jalo,Fuerza Regida & Grupo Frontera
Don't We,Morgan Wallen
Cliche,mgk
House Again,Hudson Westbrook
Genesis,Morgan Wallen
Tu Sancho,Fuerza Regida
Easy Lover,Miley Cyrus
Rather Lie,Playboi Carti & The Weeknd
EOO,Bad Bunny
Jack And Jill,Morgan Wallen
Miami,Morgan Wallen
Twilight Zone,Ariana Grande
Thought It Was Love,Ty Myers
Whiskey Drink,Jason Aldean
Fix What You Didn't Break,Nate Smith
Busy Woman,Sabrina Carpenter
Latina Foreva,Karol G
Por Esos Ojos,Fuerza Regida
Fame Is A Gun,Addison Rae
Revelation,Morgan Wallen
The Largest,BigXthaPlug
Number 3 And Number 7,Morgan Wallen Featuring Eric Church
Better Me For You (Brown Eyes),Max McNown
Interlude,Morgan Wallen
Nice To Meet You,Myles Smith
